City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Shellbrook,CA,53.2168,-106.4011,65.43,40,66,13.71,broken clouds
200,Pochutla,MX,15.7432,-96.4661,87.82,66,85,10.36,overcast clouds
201,Poum,NC,-20.2333,164.0167,68.54,66,93,20.2,overcast clouds
202,San Patricio,US,28.017,-97.5169,95.09,50,31,19.35,scattered clouds
203,Alice Springs,AU,-23.7,133.8833,36.95,56,0,4.61,clear sky
204,Oga,IT,46.4631,10.347,53.96,90,13,1.81,few clouds
205,Luanshya,ZM,-13.1367,28.4166,61.86,41,0,5.01,clear sky
206,Mamallapuram,IN,12.6264,80.1722,86.05,76,18,15.19,few clouds
207,Laguna,US,38.421,-121.4238,99.64,38,1,3.0,clear sky
208,Talnakh,RU,69.4865,88.3972,57.27,61,3,1.88,clear sky
209,Mairipora,BR,-23.3186,-46.5867,77.68,38,0,5.75,clear sky
210,Nuuk,GL,64.1835,-51.7216,42.42,86,52,4.21,broken clouds
211,Torbay,CA,47.6666,-52.7314,62.49,88,99,5.99,light rain
212,Saldanha,ZA,-33.0117,17.9442,57.25,91,100,14.05,moderate rain
213,Ancud,CL,-41.8697,-73.8203,53.42,65,6,3.02,clear sky
214,Herat,AF,34.5,62.0,84.33,15,0,30.71,clear sky
215,Tasiilaq,GL,65.6145,-37.6368,41.63,96,100,17.25,light rain
216,Porto Novo,BJ,6.4965,2.6036,76.82,88,100,9.75,overcast clouds
217,Airai,TL,-8.9266,125.4092,54.0,88,30,1.41,scattered clouds
218,Aklavik,CA,68.2191,-135.0107,53.6,66,40,3.44,scattered clouds
219,Klaksvik,FO,62.2266,-6.589,50.92,93,92,5.7,overcast clouds
220,Te Anau,NZ,-45.4167,167.7167,30.49,95,89,0.63,overcast clouds
221,Abu Kamal,SY,34.4506,40.9171,91.94,22,0,8.55,clear sky
222,Nanticoke,US,41.2054,-76.0049,90.41,52,9,1.01,clear sky
223,Sept-Iles,CA,50.2001,-66.3821,66.72,64,40,4.0,scattered clouds
224,Kayes,ML,14.0,-11.0,77.54,85,100,7.31,overcast clouds
225,Nanortalik,GL,60.1432,-45.2371,44.2,85,29,14.58,scattered clouds
226,Kolobrzeg,PL,54.1757,15.5834,63.36,81,93,13.02,overcast clouds
227,Pemberton,CA,50.3164,-122.8027,69.49,54,77,3.31,broken clouds
228,Khelyulya,RU,61.7333,30.6833,59.72,97,100,3.67,overcast clouds
229,Lima,PE,-12.0432,-77.0282,61.14,77,90,10.36,overcast clouds
230,Arrifes,PT,37.7667,-25.7,70.05,88,75,16.11,broken clouds
231,Calama,CL,-22.4667,-68.9333,70.29,8,74,18.41,broken clouds
232,Fort Nelson,CA,58.8053,-122.7002,60.39,72,75,4.61,broken clouds
233,Dakar,SN,14.6937,-17.4441,84.33,74,40,11.5,scattered clouds
234,Kurumkan,RU,54.3,110.3,57.85,92,100,2.33,light rain
235,Zamosc,PL,50.7231,23.252,64.24,78,100,5.06,light rain
236,Teguise,ES,29.0605,-13.564,70.02,68,40,18.41,scattered clouds
237,Gamba,GA,-2.65,10.0,72.12,84,53,5.41,broken clouds
238,Portland,US,45.5234,-122.6762,75.58,50,75,1.01,broken clouds
239,Griffith,US,41.5284,-87.4237,91.89,60,75,1.99,broken clouds
240,Broome,US,42.2506,-75.833,88.18,58,16,1.99,few clouds
241,Copiapo,CL,-27.3667,-70.3333,58.69,39,2,6.02,clear sky
242,Almaznyy,RU,48.0448,40.045,75.34,59,97,2.95,overcast clouds
243,The Valley,AI,18.217,-63.0578,86.14,70,20,18.41,haze
244,Zhigansk,RU,66.7697,123.3711,60.4,37,57,9.62,broken clouds
245,San Policarpo,PH,12.1791,125.5072,78.1,87,100,4.92,overcast clouds
246,Aitape,PG,-3.1374,142.3475,76.12,87,85,5.5,overcast clouds
247,Chapais,CA,49.7834,-74.8492,71.38,26,89,7.23,overcast clouds
248,Bara,NG,10.3744,10.7288,76.82,80,100,10.76,light rain
249,Sedro-Woolley,US,48.5039,-122.2361,67.6,95,100,2.33,overcast clouds
250,Qaqortoq,GL,60.7167,-46.0333,46.2,76,8,17.58,clear sky
251,Kutum,SD,14.2,24.6667,70.93,72,16,11.59,few clouds
252,Moose Factory,CA,51.2585,-80.6094,75.2,41,1,16.11,clear sky
253,Antalaha,MG,-14.9003,50.2788,68.52,84,33,7.29,scattered clouds
254,Shenjiamen,CN,29.9576,122.298,77.52,81,7,1.03,clear sky
255,Sorland,NO,67.667,12.6934,62.67,72,100,18.14,overcast clouds
256,Mount Isa,AU,-20.7333,139.5,44.37,53,0,0.0,clear sky
257,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,78,40,20.22,scattered clouds
258,Faanui,PF,-16.4833,-151.75,78.98,75,17,13.33,few clouds
259,Tangjiazhuang,CN,39.7333,118.45,70.81,92,100,5.48,overcast clouds
260,Dharmapuri,IN,12.1333,78.1667,77.49,79,93,5.5,overcast clouds
261,Gasa,PS,31.5,34.4667,82.9,74,0,4.38,clear sky
262,Iquique,CL,-20.2208,-70.1431,62.64,70,14,11.97,few clouds
263,College,US,64.8569,-147.8028,61.0,80,90,5.75,overcast clouds
264,Casian,PH,11.035,119.7136,82.15,80,100,7.11,light rain
265,Olafsvik,IS,64.8945,-23.7142,57.09,79,100,5.59,overcast clouds
266,French Harbor,HN,16.35,-86.4333,89.6,78,75,7.0,broken clouds
267,Laramie,US,41.3114,-105.5911,83.79,17,0,12.37,clear sky
268,Longyearbyen,SJ,78.2186,15.6401,44.44,81,20,14.97,few clouds
269,Umarga,IN,17.8333,76.6167,78.75,74,97,12.82,overcast clouds
270,Fare,PF,-16.7,-151.0167,78.49,77,13,12.15,few clouds
271,Puerto El Triunfo,SV,13.2833,-88.55,84.33,71,100,5.19,overcast clouds
272,Kalmunai,LK,7.4167,81.8167,79.61,82,99,4.38,overcast clouds
273,Cap Malheureux,MU,-19.9842,57.6142,69.48,90,84,3.0,light rain
274,Igarka,RU,67.4667,86.5833,54.63,68,0,4.59,clear sky
275,Reporoa,NZ,-38.4333,176.35,43.34,79,99,9.62,overcast clouds
276,Vanderhoof,CA,54.0166,-124.0198,73.38,41,3,4.72,clear sky
277,Fairbanks,US,64.8378,-147.7164,61.02,79,90,5.75,overcast clouds
278,Severomuysk,RU,56.1481,113.4267,47.91,96,100,3.87,light rain
279,Coos Bay,US,43.3665,-124.2179,78.85,54,0,13.76,clear sky
280,Bilma,NE,18.6853,12.9164,97.56,25,54,6.15,broken clouds
281,Hobart,AU,-42.8794,147.3294,45.1,89,21,8.05,light rain
282,Impfondo,CG,1.6381,18.0667,73.99,76,86,2.42,overcast clouds
