City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Aasiaat,GL,39.65,overcast clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
454,Sawakin,SD,95.88,clear sky,19.1059,37.3321,فندق الدويم
455,Siverek,TR,79.41,clear sky,37.755,39.3167,Mercan Hotel
456,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
457,San Felipe,VE,91.4,clear sky,10.3399,-68.7425,Posada Llovizna Rodríguez
458,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
459,Asbury Park,US,81.12,light rain,40.2204,-74.0121,The Empress Hotel
460,Codogno,IT,75.72,scattered clouds,45.1619,9.7022,Corte Stella - R.T.A.
461,Key Largo,US,91.02,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
462,Yeppoon,AU,56.98,scattered clouds,-23.1333,150.7333,Villa Mar Colina
463,Srostki,RU,61.79,clear sky,52.4189,85.7022,Kalina Krasnaya
465,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
466,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
467,Aktyubinskiy,RU,59.41,broken clouds,54.8137,52.8056,Aktyubinskaya1B
468,Uddevalla,SE,63.07,few clouds,58.3478,11.9424,Best Western Hotel Carlia
469,Porangatu,BR,89.71,clear sky,-13.4408,-49.1486,Wembley Park Hotel
470,Soe,ID,61.21,scattered clouds,-9.8607,124.284,Dena Hotel
472,Searcy,US,93.52,overcast clouds,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
473,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
475,La Sarre,CA,69.98,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
476,Iqaluit,CA,44.33,light rain,63.7506,-68.5145,Frobisher Inn
477,Xucheng,CN,81.3,overcast clouds,20.35,110.1288,Haixing Hotel
478,Eirunepe,BR,96.91,scattered clouds,-6.6603,-69.8736,Atrás de você
479,Amga,RU,49.28,broken clouds,60.8953,131.9608,Algys
480,Anse-Bertrand,GP,82.22,broken clouds,16.4721,-61.5078,Le Domharry
481,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
482,Sola,VU,75.36,moderate rain,-13.8833,167.55,Leumerus Bungalows
483,Avanigadda,IN,85.53,broken clouds,16.0215,80.9181,AP Camping
484,Rorvik,NO,64.51,scattered clouds,64.8621,11.2373,Kysthotellet Rørvik AS
485,Broken Hill,AU,40.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
486,Colomi,BO,75.22,scattered clouds,-17.35,-65.8667,Casa
